no,light_num,crossway_num,center,lanes,max_spd,road_length,road_bt,school_num,stations,police_num,label
1,4,0,1,1.66666667,56.66666667,400.1548515,11.8,0,0,0,34
2,31,8,0,3.25,55,80.72226112,23.5,1,1,0,407
3,12,4,0,3.16666667,56.66666667,242.4482212,29,0,0,1,213
4,8,4,1,3,56.66666667,508.8941937,13,1,2,1,7
5,15,7,0,1.91666667,35,119.8547957,15.2,1,0,0,163
6,18,3,0,1.625,48.75,255.0964763,9.49157143,0,0,0,171
7,14,2,0,3,50,528.0690624,15.75,1,0,0,124
8,16,5,0,1.625,48.75,255.0964763,7.063,0,0,0,70
9,17,3,1,3,50,394.0994004,29.3075,0,0,0,64
10,20,7,1,3.66666667,66.66666667,388.8553877,36.7433333,1,0,0,594
11,10,3,2,3.25,61.66666667,395.2646256,29.8075,1,0,0,149
12,18,3,0,2.25,52.5,152.2191629,24.446,2,1,0,96
13,29,6,0,2.6,48,206.020625,23.246,1,0,0,214
14,0,0,1,3,60,381.4872256,21,0,0,0,11
15,12,0,0,1.25,37.5,211.7854394,25,2,1,0,7
16,12,5,2,3,60,417.3336604,31,0,0,0,110
17,1,0,0,1,30,226.1009597,19,1,0,0,7
18,8,0,0,2.5,50,268.7015878,30,0,0,0,40
19,16,4,0,2,60,431.9381002,30,0,0,0,148
20,11,4,0,2.33333333,66.66666667,317.1370608,20.6666666,3,0,0,167
21,12,1,0,1,30,233.9945166,20,1,1,0,14
22,14,0,0,1.5,45,212.1350683,25,0,0,0,48
23,15,6,0,3.625,60,270.487677,23.6666666,6,0,0,597
24,19,3,0,3.5,62.5,189.0772339,40,0,1,0,311
25,9,0,0,2.33333333,53.33333333,319.8038891,30,0,0,0,4
26,10,5,0,3.5,52.5,382.5966303,36,1,0,0,469
27,7,1,0,3,60,406.929639,34.5,0,0,0,29
28,20,5,0,1.75,60,286.5573902,18.2,0,0,0,88
29,0,1,0,3,60,859.0634853,20.5,0,0,0,6
30,19,3,0,2.625,65,313.6446637,15,0,0,0,208
31,16,3,1,2.83333333,50,258.1470294,12.75,1,0,1,270
32,10,3,0,2,45,269.3266709,23.5,1,0,1,158
33,18,4,0,1.625,45,104.3181184,30,0,0,0,12
34,0,0,0,2.75,47.5,160.8586267,37.5,0,0,0,13
35,0,0,0,1.5,35,218.5445243,27.5,0,0,0,11
36,0,0,0,1.5,40,311.2161281,27.5,0,0,0,6
37,0,0,2,3.66666667,80,93.76839808,40,0,0,0,2
38,32,7,0,2.25,60,288.7963396,9.5,3,0,0,308
39,24,4,0,2,52.5,444.2194905,17,0,1,0,158
40,24,4,0,2.125,60,461.0301169,16.6666666,5,0,0,139
41,24,4,2,1.5,50,198.4083203,11,1,0,0,211
42,20,4,0,2.66666667,53.33333333,185.5170881,17,5,0,0,82
43,11,2,0,2.83333333,56.66666667,186.6848063,14.6,0,0,1,239
44,20,5,2,2.875,60,258.0584227,22.3333333,0,0,0,338
